Token:( VAR ),	Class:( VAR ),	
Token:( a ),	Class:( Identifier ),	
Token:( , ),	Class:( Comma ),	
Token:( b ),	Class:( Identifier ),	
Token:( , ),	Class:( Comma ),	
Token:( c ),	Class:( Identifier ),	
Token:( ; ),	Class:( Semicolon ),	
Token:( BEGIN ),	Class:( BEGIN ),	
Token:( a ),	Class:( Identifier ),	
Token:( := ),	Class:( Assign ),	
Token:( 2 ),	Class:( Number ),	
Token:( ; ),	Class:( Semicolon ),	
Token:( b ),	Class:( Identifier ),	
Token:( := ),	Class:( Assign ),	
Token:( 3 ),	Class:( Number ),	
Token:( ; ),	Class:( Semicolon ),	
Token:( c ),	Class:( Identifier ),	
Token:( := ),	Class:( Assign ),	
Token:( @ ),	Class:( Defective ),	Error: ( The character is invalid! )
Token:( + ),	Class:( Plus ),	
Token:( b ),	Class:( Identifier ),	
Token:( END ),	Class:( END ),	
Token:( . ),	Class:( Dot ),	
